fixture_id,family,query_id,target_space,invariant,expected,gold,generic,typed,all_agree
F07,exposure_policy_lifecycle,F07.q5,AVAILABLE,forget_removes_active_availability,false,false,false,false,1
F07,exposure_policy_lifecycle,F07.q6,EVER_EXPOSED,forget_preserves_audit_history,true,true,true,true,1
F07,exposure_policy_lifecycle,F07.q7,AVAILABLE,reacquire_restores_availability,true,true,true,true,1
F08,restore_manifest_gap,F08.q1,EVER_EXPOSED,manifest_member_inherited,true,true,true,true,1
F08,restore_manifest_gap,F08.q2,EVER_EXPOSED,post_snapshot_recovery_gap,false,false,false,false,1
F08,restore_manifest_gap,F08.q3,AVAILABLE,manifest_availability_inherited,true,true,true,true,1
F08,restore_manifest_gap,F08.q4,ATTRIBUTION,snapshot_attribution,same_principal_snapshot_inheritance,same_principal_snapshot_inheritance,same_principal_snapshot_inheritance,same_principal_snapshot_inheritance,1
F08,restore_manifest_gap,F08.q5,ATTITUDE,manifest_attitude_inherited,believe,believe,believe,believe,1
F08,restore_manifest_gap,F08.q6,ATTRIBUTION,gap_has_no_attribution,unknown,unknown,unknown,unknown,1
F09,cross_world_reference_context,F09.q1,ATTITUDE,attitude_held_in_w2_about_w1,believe,believe,believe,believe,1
F09,cross_world_reference_context,F09.q2,ATTITUDE,no_silent_rescope_to_w2,unknown,unknown,unknown,unknown,1
F09,cross_world_reference_context,F09.q3,ATTRIBUTION,cross_world_report_attribution,attributed_report,attributed_report,attributed_report,attributed_report,1
F09,cross_world_reference_context,F09.q4,EVER_EXPOSED,cross_world_receipt_exposure,true,true,true,true,1
F09,cross_world_reference_context,F09.q5,WORLD,w1_truth_retained,Room 4,Room 4,Room 4,Room 4,1
F09,cross_world_reference_context,F09.q6,WORLD,w2_truth_not_overwritten,Room 2,Room 2,Room 2,Room 2,1
F10,protected_only_revocation,F10.q1,DISCLOSE,public_cannot_read_private_only,false,false,false,false,1
F10,protected_only_revocation,F10.q2,DISCLOSE,trusted_can_read_private_only,true,true,true,true,1
F10,protected_only_revocation,F10.q3,JUSTIFICATION,admin_sees_private_justification,J.secret,J.secret,J.secret,J.secret,1
F10,protected_only_revocation,F10.q4,DISCLOSE,revocation_blocks_even_admin,false,false,false,false,1
F10,protected_only_revocation,F10.q5,JUSTIFICATION,revoked_path_inactive,,,,,1
F11,independent_public_survives,F11.q1,DISCLOSE,public_path_allows_disclosure,true,true,true,true,1
F11,independent_public_survives,F11.q2,JUSTIFICATION,public_uses_public_path_only,J.pub,J.pub,J.pub,J.pub,1
F11,independent_public_survives,F11.q3,JUSTIFICATION,admin_sees_alternative_paths,J.pub|J.sec,J.pub|J.sec,J.pub|J.sec,J.pub|J.sec,1
F11,independent_public_survives,F11.q4,JUSTIFICATION,public_path_survives_private_revocation,J.pub,J.pub,J.pub,J.pub,1
F11,independent_public_survives,F11.q5,DISCLOSE,public_path_fails_after_member_delete,false,false,false,false,1
F12,same_origin_dedup,F12.q1,JUSTIFICATION,same_origin_not_independent,J.ok,J.ok,J.ok,J.ok,1
F12,same_origin_dedup,F12.q2,DISCLOSE,two_origins_are_sufficient,true,true,true,true,1
F12,same_origin_dedup,F12.q3,JUSTIFICATION,admin_does_not_override_independence,J.ok,J.ok,J.ok,J.ok,1
F12,same_origin_dedup,F12.q4,JUSTIFICATION,remaining_duplicate_path_insufficient,,,,,1
F12,same_origin_dedup,F12.q5,DISCLOSE,dedup_prevents_laundered_disclosure,false,false,false,false,1
F13,authorized_replication,F13.q1,EVER_EXPOSED,replica_unexposed_before_sync,false,false,false,false,1
F13,authorized_replication,F13.q2,EVER_EXPOSED,authorized_same_principal_replication,true,true,true,true,1
F13,authorized_replication,F13.q3,AVAILABLE,authorized_replication_available,true,true,true,true,1
F13,authorized_replication,F13.q4,ATTRIBUTION,authorized_replication_attribution,same_principal_state_replication,same_principal_state_replication,same_principal_state_replication,same_principal_state_replication,1
F13,authorized_replication,F13.q5,EVER_EXPOSED,revoked_authorization_blocks_later_replication,false,false,false,false,1
F13,authorized_replication,F13.q6,ATTRIBUTION,blocked_replication_has_no_attribution,unknown,unknown,unknown,unknown,1
F14,temporal_negative_controls,F14.q1,WORLD,ordinary_old_valid_state,old,old,old,old,1
F14,temporal_negative_controls,F14.q2,WORLD,ordinary_latest_valid_state,new,new,new,new,1
F14,temporal_negative_controls,F14.q3,AVAILABLE,ordinary_evidence_available,true,true,true,true,1
F14,temporal_negative_controls,F14.q4,ATTITUDE,ordinary_attitude,believe,believe,believe,believe,1
F14,temporal_negative_controls,F14.q5,DISCLOSE,ordinary_public_disclosure,true,true,true,true,1
