source_row_number,domain,episode_id,turn_id,text_sha256,request_type,target_grounding,authorization_mixed,coder_confidence,note_code,delete_signal_count
17,household,household_episode_custom_en_016_laurel_lift_laurel_locker_gym_supply_private_note,t152,477fed7da3f94c942c61b21a46003343d8813ce368e32bdca048c030c92851cc,information_deletion,deictic_prior_context,false,high,deictic_exact_content,0
18,household,household_episode_custom_en_017_apricot_archive_apricot_adapter_media_backup_private_note,t152,477fed7da3f94c942c61b21a46003343d8813ce368e32bdca048c030c92851cc,information_deletion,deictic_prior_context,false,high,deictic_exact_content,0
19,household,household_episode_custom_en_018_slate_sweep_slate_soap_robot_supply_private_note,t152,477fed7da3f94c942c61b21a46003343d8813ce368e32bdca048c030c92851cc,information_deletion,deictic_prior_context,false,high,deictic_exact_content,0
20,household,household_episode_custom_en_020_pine_pedals_pine_packs_bike_storage_private_note,t114,b91c95197fc5e5b09b6099d6bc94a6e9ad57391683ec977db90741102ba27763,information_deletion,explicit_current_turn,false,high,explicit_content,0
21,household,household_episode_custom_en_020_pine_pedals_pine_packs_bike_storage_private_note,t115,9c3e2840297f018b809673ae81afe37131a779cc74eeca1cd3e288ce42c9f1bb,information_deletion,explicit_current_turn,false,high,explicit_content,0
22,household,household_episode_custom_en_020_pine_pedals_pine_packs_bike_storage_private_note,t117,77fa9febc750133ef901d290de57bf0caa91ca0f075688375c1806fb7a2a4051,information_deletion,explicit_current_turn,false,high,explicit_content,0
23,household,household_episode_custom_en_020_pine_pedals_pine_packs_bike_storage_private_note,t118,ac43cefe40ae2d385f0d8a028fcb61c77ae10c97c07d6f081713ed66696f3d18,information_deletion,explicit_current_turn,false,high,explicit_content,0
24,household,household_episode_custom_en_020_pine_pedals_pine_packs_bike_storage_private_note,t120,a9854b3d713dbbe91d7e5b243fea4615be1f7c50d1c1d88af28b6c09eae8cdfd,information_deletion,explicit_current_turn,false,high,explicit_content,0
25,household,household_episode_custom_en_020_pine_pedals_pine_packs_bike_storage_private_note,t121,ea3275c87a19e7858bfec17710bdcc6ffaa9d190c1651bb115dc28f2c302eeeb,information_deletion,explicit_current_turn,false,high,explicit_content,0
26,household,household_episode_custom_en_021_clover_crust_clover_crate_bake_pantry_private_note,t148,196cf1c5419f664421a30d70343a585e88ff3c83fb8ae8d474cc359a8afe6188,information_deletion,explicit_current_turn,false,high,explicit_content,0
27,household,household_episode_custom_en_021_clover_crust_clover_crate_bake_pantry_private_note,t154,620f6fa1b7902bf6a9b4c5d133b05d2c4a441c065c8baed282e02335d61755f9,information_deletion,explicit_current_turn,false,high,explicit_content,0
28,household,household_episode_custom_en_021_clover_crust_clover_crate_bake_pantry_private_note,t156,db2ec70b518e48d9ad47b953b74f1833cc91b60da5a01d0f8db117069e0ddc0f,information_deletion,explicit_current_turn,false,high,explicit_content,0
29,household,household_episode_custom_en_022_marigold_easel_marigold_caddy_art_supply_private_note,t152,2b95df03e94bdb18ce73428b8526d33dddbc9b0eb81db6d899d33f27dc88e6d5,information_deletion,explicit_current_turn,false,high,explicit_content,0
30,household,household_episode_custom_en_023_cinder_hearth_cinder_hamper_fireplace_supply_private_note,t154,2c1e08684e88ee45b9959927426fe6fb19c0b977f241250d726ca607de393202,information_deletion,explicit_current_turn,false,high,explicit_content,0
31,household,household_episode_custom_en_023_cinder_hearth_cinder_hamper_fireplace_supply_private_note,t156,5f1ed2c9c98cda724c016009a352c93dbe391aaffbf0432b3b94147e5857010d,information_deletion,explicit_current_turn,false,high,explicit_content,0
32,household,household_episode_custom_en_023_cinder_hearth_cinder_hamper_fireplace_supply_private_note,t157,fd1afb9211850eaa557200f6326dfc337846fcc1a03fc38b1c68d29dcd49ef5a,information_deletion,explicit_current_turn,false,high,explicit_content,0
33,household,household_episode_custom_en_023_cinder_hearth_cinder_hamper_fireplace_supply_private_note,t158,7373d234933ef5abfeaa593c964984adddf42e599ae8f01cf8a425d4e8540fdc,information_deletion,explicit_current_turn,false,high,explicit_content,0
34,household,household_episode_custom_en_023_cinder_hearth_cinder_hamper_fireplace_supply_private_note,t160,bd0e3468abc511afca9cb3185a941f4fd0ca19d957094b1b48f675ef42986b63,information_deletion,explicit_current_turn,false,high,explicit_content,0
35,medical,med_episode_rewrite_en_002_cardiology_afib_cardioversion_confidential_backup,t157,3e0285187bc2eb4acd887f3a8784a0f999c35350345dafc81a45d5ae78893f48,information_deletion,explicit_current_turn,false,high,explicit_content,0
36,medical,med_episode_rewrite_en_004_obgyn_postpartum_htn_gdm_deleted_safe_contact,t147,36b60b53ca6bc9dca14b986e65546b8ffb16e277b2d41e43a5ad112f847d9b4a,information_deletion,explicit_current_turn,false,high,explicit_content,0
37,medical,med_episode_rewrite_en_006_hyperkalemia_deleted_harbor_house_alias,t116,b6d1cceda66d14e2fc0e5db53757ba21fafebeeeeeb4761efc8708536e39cc46,information_deletion,explicit_current_turn,false,high,explicit_content,0
38,medical,med_episode_rewrite_en_007_thyroid_biopsy_deleted_rose_lodge_contact,t068,69ad7d1506faa71bb790a3df18d14fab26a456535b0599d7cb85d74a16c2e471,authorization_revocation,explicit_current_turn,false,high,principal_access_revoke,0
39,medical,med_episode_rewrite_en_008_syphilis_deleted_cedar_outreach_line,t132,ca4ffee24a8f56ece2032d6211cf4c49979ac34820d2fb66eca923a277fc711a,information_deletion,explicit_current_turn,false,high,explicit_content,0
40,medical,med_episode_rewrite_en_010_breast_biopsy_deleted_maple_house_line,t103,80ae11fac185d120945344334f6d2d648d88ef962471df9cda56460e6439c07a,information_deletion,explicit_current_turn,false,high,explicit_content,0
41,medical,med_episode_rewrite_en_011_first_seizure_deleted_harbor_steps_line,t118,a05284d4b36d44f1b33e14e6d36e0866264e7c19cec166cdeff5f69a5951b5ef,information_deletion,explicit_current_turn,false,high,explicit_content,0
42,medical,med_episode_rewrite_en_012_new_hiv_deleted_harbor_light_line,t084,0b45c83b47818e57c659fe2cf804e708b1a44db52458a1d6dd30a2432f91a6b6,authorization_revocation,explicit_current_turn,false,high,principal_access_revoke,0
43,medical,med_episode_rewrite_en_012_new_hiv_deleted_harbor_light_line,t110,5839bca5138428c8c96f18e604f0d31c7532ccc2fa38a77c26cfe521671728d6,information_deletion,explicit_current_turn,false,high,explicit_content,0
44,medical,med_episode_rewrite_en_013_ibd_deleted_pine_harbor_line,t110,bbe8184111e9c5c53dc5bc49b2e27841fb4039220cabe2f8c1b182cb431d6809,information_deletion,explicit_current_turn,false,high,explicit_content,0
45,medical,med_episode_rewrite_en_016_early_pregnancy_deleted_haven_house_line,t073,48f99f3b0571eec8129201ddbd93dfe5c942e8298ba2b5eb4353cd1a81cd0453,authorization_revocation,explicit_current_turn,false,high,principal_access_revoke,0
46,medical,med_episode_rewrite_en_018_hematuria_deleted_harbor_house_line,t069,2b54a55b93263b9e983223388c6164626d55057ebcf778609bbf9a3a90001aab,authorization_revocation,explicit_current_turn,false,high,principal_access_revoke,0
47,medical,med_episode_rewrite_en_019_ascites_deleted_juniper_house_line,t096,3282ffe70488b2f7ebc5bff80f72c8b53bd89e9ea1b597d0ad212315bb7d6f2b,information_deletion,explicit_current_turn,false,high,explicit_content,0
48,office,office_episode_custom_en_008_horizon_horizonline_dual_project,t045,455e4e802171ae0c02dc61135cd18e37c1e5c587a09a83ae72081028dfed3b3b,information_deletion,explicit_current_turn,false,high,explicit_content,0
49,office,office_episode_custom_en_009_keystone_keystream_dual_project,t045,d2da9ef72304bc055494b58d3fe5ac9f3a67dbc4edf0c755aaffc228ce6ab75a,information_deletion,explicit_current_turn,false,high,explicit_content,0
50,office,office_episode_custom_en_010_monsoon_moonstone_dual_project,t045,8fdb9286714dc9fc19ab3b5350bcaa765b1be59431bde3186d4d55f5d8fd439a,information_deletion,explicit_current_turn,false,high,explicit_content,0
51,office,office_episode_custom_en_011_riverbend_riverbridge_dual_project,t045,77a4796a5454f26317dc5ff647feda5cba374331fbbbfd4f0de82133e24d5c18,information_deletion,explicit_current_turn,false,high,explicit_content,0
52,office,office_episode_custom_en_012_timber_timberlane_dual_project,t045,2f82b9543bd98f23b4186d1dc0cdebc1fc005910fd89df2ad8137ac8495f51d5,information_deletion,explicit_current_turn,false,high,explicit_content,0
53,office,office_episode_custom_en_013_ember_emberline_dual_project,t045,e647ec25f388c8b0bb8570b680cbc49ac7973a24e84fd6c81f4200f6a3ce1211,information_deletion,explicit_current_turn,false,high,explicit_content,0
54,office,office_episode_custom_en_014_glacier_glacierlane_dual_project,t045,cf7a40d2c1b21b6725756b04cdc4df448d3cda66c5e89d6d7e948a5f3c05eb56,information_deletion,explicit_current_turn,false,high,explicit_content,0
55,office,office_episode_custom_en_015_sterling_sterlingbridge_dual_project,t045,0811bef64b84c7a5019c2a94a9075a32536ca754adfc0b5be1f6eeab34167097,information_deletion,explicit_current_turn,false,high,explicit_content,0
56,office,office_episode_custom_en_016_anchor_anchorline_dual_project,t045,2ed1e87b499d61853c2d8c227ff62f1d6571334e2f6330c15a328c41d14de4cc,information_deletion,explicit_current_turn,false,high,explicit_content,0
57,office,office_episode_custom_en_017_willow_willowmark_dual_project,t045,657b75e2e50ba1b5bc62cca77f5f0ae8553e431a0896498359985eafbac263b1,information_deletion,explicit_current_turn,false,high,explicit_content,0
