archetype_id,fault_class,detectable_level,system,N,DetectionRate,UISR,FalseAlarmRate,ExactLocalizationRate,AlertRules
F11_policy_laundering,provenance_policy,semantic,G-Raw,20,0.0,1.0,0.0,0.0,
F11_policy_laundering,provenance_policy,semantic,T-Canonical,20,1.0,0.0,0.0,1.0,policy_laundering
F11_policy_laundering,provenance_policy,semantic,T-Envelope,20,1.0,0.0,0.0,1.0,policy_laundering
F11_policy_laundering,provenance_policy,semantic,T-Local,20,0.0,1.0,0.0,0.0,
F12_dropped_revoke_with_envelope,omission,envelope,G-Complete,20,0.0,1.0,0.0,0.0,
F12_dropped_revoke_with_envelope,omission,envelope,G-Envelope,20,1.0,0.0,0.0,1.0,envelope_missing_event
F12_dropped_revoke_with_envelope,omission,envelope,G-Raw,20,0.0,1.0,0.0,0.0,
F12_dropped_revoke_with_envelope,omission,envelope,T-Canonical,20,0.0,1.0,0.0,0.0,
F12_dropped_revoke_with_envelope,omission,envelope,T-Envelope,20,1.0,0.0,0.0,1.0,envelope_missing_event
F12_dropped_revoke_with_envelope,omission,envelope,T-Local,20,0.0,1.0,0.0,0.0,
F13_fork_cutoff_tamper,tamper,envelope,G-Complete,20,0.0,1.0,0.0,0.0,
F13_fork_cutoff_tamper,tamper,envelope,G-Envelope,20,1.0,0.0,0.0,1.0,envelope_hash_mismatch
F13_fork_cutoff_tamper,tamper,envelope,G-Raw,20,0.0,1.0,0.0,0.0,
F13_fork_cutoff_tamper,tamper,envelope,T-Canonical,20,0.0,1.0,0.0,0.0,
F13_fork_cutoff_tamper,tamper,envelope,T-Envelope,20,1.0,0.0,0.0,1.0,envelope_hash_mismatch
F13_fork_cutoff_tamper,tamper,envelope,T-Local,20,0.0,1.0,0.0,0.0,
F14_stale_projection_cache,projection_residue,envelope,G-Complete,20,0.0,1.0,0.0,0.0,
F14_stale_projection_cache,projection_residue,envelope,G-Envelope,20,1.0,0.0,0.0,1.0,projection_head_mismatch
F14_stale_projection_cache,projection_residue,envelope,G-Raw,20,0.0,1.0,0.0,0.0,
F14_stale_projection_cache,projection_residue,envelope,T-Canonical,20,0.0,1.0,0.0,0.0,
F14_stale_projection_cache,projection_residue,envelope,T-Envelope,20,1.0,0.0,0.0,1.0,projection_head_mismatch
F14_stale_projection_cache,projection_residue,envelope,T-Local,20,0.0,1.0,0.0,0.0,
F15_dropped_revoke_no_envelope,unobservable_omission,unobservable,G-Complete,20,0.0,1.0,0.0,0.0,
F15_dropped_revoke_no_envelope,unobservable_omission,unobservable,G-Envelope,20,0.0,1.0,0.0,0.0,
F15_dropped_revoke_no_envelope,unobservable_omission,unobservable,G-Raw,20,0.0,1.0,0.0,0.0,
F15_dropped_revoke_no_envelope,unobservable_omission,unobservable,T-Canonical,20,0.0,1.0,0.0,0.0,
F15_dropped_revoke_no_envelope,unobservable_omission,unobservable,T-Envelope,20,0.0,1.0,0.0,0.0,
F15_dropped_revoke_no_envelope,unobservable_omission,unobservable,T-Local,20,0.0,1.0,0.0,0.0,
