case_id,family,implementation,clean_control,identifiable,journal_commitment_mismatch,projection_head_mismatch,projection_content_mismatch,detected,pre_repair_correct,silent_incorrect_use,repair_attempted,repair_success,residue_after_repair,metrics_before_repair,metrics_after_repair,notes,repair_cost
P06,late_prefork_import_missing_from_projection,G_generic_physical_v0.3,False,True,False,True,True,True,False,False,True,True,0,"{""events_reprocessed"": 8, ""journal_appends"": 9, ""projection_rebuilds"": 1, ""projection_rows_written"": 1, ""query_recomputations"": 1}","{""events_reprocessed"": 17, ""journal_appends"": 9, ""projection_rebuilds"": 2, ""projection_rows_written"": 2, ""query_recomputations"": 2}",,"{""events_reprocessed"": 9, ""journal_appends"": 0, ""projection_rebuilds"": 1, ""projection_rows_written"": 1, ""query_recomputations"": 1}"
P06,late_prefork_import_missing_from_projection,T_typed_physical_v0.3,False,True,False,True,True,True,False,False,True,True,0,"{""events_reprocessed"": 8, ""journal_appends"": 9, ""projection_rebuilds"": 1, ""projection_rows_written"": 1, ""query_recomputations"": 1}","{""events_reprocessed"": 17, ""journal_appends"": 9, ""projection_rebuilds"": 2, ""projection_rows_written"": 2, ""query_recomputations"": 2}",,"{""events_reprocessed"": 9, ""journal_appends"": 0, ""projection_rebuilds"": 1, ""projection_rows_written"": 1, ""query_recomputations"": 1}"
P07,authoritative_journal_revoke_omitted,G_generic_physical_v0.3,False,True,True,False,True,True,False,False,True,True,0,"{""events_reprocessed"": 10, ""journal_appends"": 10, ""projection_rebuilds"": 1, ""projection_rows_written"": 2, ""query_recomputations"": 2}","{""events_reprocessed"": 21, ""journal_appends"": 10, ""projection_rebuilds"": 2, ""projection_rows_written"": 4, ""query_recomputations"": 4}",,"{""events_reprocessed"": 11, ""journal_appends"": 0, ""projection_rebuilds"": 1, ""projection_rows_written"": 2, ""query_recomputations"": 2}"
P07,authoritative_journal_revoke_omitted,T_typed_physical_v0.3,False,True,True,False,True,True,False,False,True,True,0,"{""events_reprocessed"": 10, ""journal_appends"": 10, ""projection_rebuilds"": 1, ""projection_rows_written"": 2, ""query_recomputations"": 2}","{""events_reprocessed"": 21, ""journal_appends"": 10, ""projection_rebuilds"": 2, ""projection_rows_written"": 4, ""query_recomputations"": 4}",,"{""events_reprocessed"": 11, ""journal_appends"": 0, ""projection_rebuilds"": 1, ""projection_rows_written"": 2, ""query_recomputations"": 2}"
P08,authoritative_append_order_changed,G_generic_physical_v0.3,False,True,True,False,False,True,True,False,True,True,0,"{""events_reprocessed"": 12, ""journal_appends"": 12, ""projection_rebuilds"": 1, ""projection_rows_written"": 3, ""query_recomputations"": 3}","{""events_reprocessed"": 24, ""journal_appends"": 12, ""projection_rebuilds"": 2, ""projection_rows_written"": 6, ""query_recomputations"": 6}",Semantic answers remain equal; the append-order commitment changes.,"{""events_reprocessed"": 12, ""journal_appends"": 0, ""projection_rebuilds"": 1, ""projection_rows_written"": 3, ""query_recomputations"": 3}"
P08,authoritative_append_order_changed,T_typed_physical_v0.3,False,True,True,False,False,True,True,False,True,True,0,"{""events_reprocessed"": 12, ""journal_appends"": 12, ""projection_rebuilds"": 1, ""projection_rows_written"": 3, ""query_recomputations"": 3}","{""events_reprocessed"": 24, ""journal_appends"": 12, ""projection_rebuilds"": 2, ""projection_rows_written"": 6, ""query_recomputations"": 6}",Semantic answers remain equal; the append-order commitment changes.,"{""events_reprocessed"": 12, ""journal_appends"": 0, ""projection_rebuilds"": 1, ""projection_rows_written"": 3, ""query_recomputations"": 3}"
P09,duplicate_event_replayed_into_journal,G_generic_physical_v0.3,False,True,True,True,False,True,True,False,True,True,0,"{""events_reprocessed"": 12, ""journal_appends"": 13, ""projection_rebuilds"": 1, ""projection_rows_written"": 2, ""query_recomputations"": 2}","{""events_reprocessed"": 24, ""journal_appends"": 13, ""projection_rebuilds"": 2, ""projection_rows_written"": 4, ""query_recomputations"": 4}",,"{""events_reprocessed"": 12, ""journal_appends"": 0, ""projection_rebuilds"": 1, ""projection_rows_written"": 2, ""query_recomputations"": 2}"
P09,duplicate_event_replayed_into_journal,T_typed_physical_v0.3,False,True,True,True,False,True,True,False,True,True,0,"{""events_reprocessed"": 12, ""journal_appends"": 13, ""projection_rebuilds"": 1, ""projection_rows_written"": 2, ""query_recomputations"": 2}","{""events_reprocessed"": 24, ""journal_appends"": 13, ""projection_rebuilds"": 2, ""projection_rows_written"": 4, ""query_recomputations"": 4}",,"{""events_reprocessed"": 12, ""journal_appends"": 0, ""projection_rebuilds"": 1, ""projection_rows_written"": 2, ""query_recomputations"": 2}"
P10,projection_row_content_corrupted,G_generic_physical_v0.3,False,True,False,False,True,True,False,False,True,True,0,"{""events_reprocessed"": 12, ""journal_appends"": 12, ""projection_rebuilds"": 1, ""projection_rows_written"": 1, ""query_recomputations"": 1}","{""events_reprocessed"": 24, ""journal_appends"": 12, ""projection_rebuilds"": 2, ""projection_rows_written"": 2, ""query_recomputations"": 2}",,"{""events_reprocessed"": 12, ""journal_appends"": 0, ""projection_rebuilds"": 1, ""projection_rows_written"": 1, ""query_recomputations"": 1}"
P10,projection_row_content_corrupted,T_typed_physical_v0.3,False,True,False,False,True,True,False,False,True,True,0,"{""events_reprocessed"": 12, ""journal_appends"": 12, ""projection_rebuilds"": 1, ""projection_rows_written"": 1, ""query_recomputations"": 1}","{""events_reprocessed"": 24, ""journal_appends"": 12, ""projection_rebuilds"": 2, ""projection_rows_written"": 2, ""query_recomputations"": 2}",,"{""events_reprocessed"": 12, ""journal_appends"": 0, ""projection_rebuilds"": 1, ""projection_rows_written"": 1, ""query_recomputations"": 1}"
P11,projection_bound_to_wrong_journal_head_with_equal_answer,G_generic_physical_v0.3,False,True,False,True,False,True,True,False,True,True,0,"{""events_reprocessed"": 11, ""journal_appends"": 12, ""projection_rebuilds"": 1, ""projection_rows_written"": 2, ""query_recomputations"": 2}","{""events_reprocessed"": 23, ""journal_appends"": 12, ""projection_rebuilds"": 2, ""projection_rows_written"": 4, ""query_recomputations"": 4}",The selected world answers happen to match; head binding still exposes staleness.,"{""events_reprocessed"": 12, ""journal_appends"": 0, ""projection_rebuilds"": 1, ""projection_rows_written"": 2, ""query_recomputations"": 2}"
P11,projection_bound_to_wrong_journal_head_with_equal_answer,T_typed_physical_v0.3,False,True,False,True,False,True,True,False,True,True,0,"{""events_reprocessed"": 11, ""journal_appends"": 12, ""projection_rebuilds"": 1, ""projection_rows_written"": 2, ""query_recomputations"": 2}","{""events_reprocessed"": 23, ""journal_appends"": 12, ""projection_rebuilds"": 2, ""projection_rows_written"": 4, ""query_recomputations"": 4}",The selected world answers happen to match; head binding still exposes staleness.,"{""events_reprocessed"": 12, ""journal_appends"": 0, ""projection_rebuilds"": 1, ""projection_rows_written"": 2, ""query_recomputations"": 2}"
P12,unwitnessed_revoke_omission,G_generic_physical_v0.3,False,False,False,False,False,False,False,True,False,False,1,"{""events_reprocessed"": 10, ""journal_appends"": 10, ""projection_rebuilds"": 1, ""projection_rows_written"": 1, ""query_recomputations"": 1}","{""events_reprocessed"": 10, ""journal_appends"": 10, ""projection_rebuilds"": 1, ""projection_rows_written"": 1, ""query_recomputations"": 1}",No external journal or projection witness binds the omitted revoke.,"{""events_reprocessed"": 0, ""journal_appends"": 0, ""projection_rebuilds"": 0, ""projection_rows_written"": 0, ""query_recomputations"": 0}"
P12,unwitnessed_revoke_omission,T_typed_physical_v0.3,False,False,False,False,False,False,False,True,False,False,1,"{""events_reprocessed"": 10, ""journal_appends"": 10, ""projection_rebuilds"": 1, ""projection_rows_written"": 1, ""query_recomputations"": 1}","{""events_reprocessed"": 10, ""journal_appends"": 10, ""projection_rebuilds"": 1, ""projection_rows_written"": 1, ""query_recomputations"": 1}",No external journal or projection witness binds the omitted revoke.,"{""events_reprocessed"": 0, ""journal_appends"": 0, ""projection_rebuilds"": 0, ""projection_rows_written"": 0, ""query_recomputations"": 0}"
PC01,clean_fully_synchronized,G_generic_physical_v0.3,True,True,False,False,False,False,True,False,False,False,0,"{""events_reprocessed"": 12, ""journal_appends"": 12, ""projection_rebuilds"": 1, ""projection_rows_written"": 5, ""query_recomputations"": 5}","{""events_reprocessed"": 12, ""journal_appends"": 12, ""projection_rebuilds"": 1, ""projection_rows_written"": 5, ""query_recomputations"": 5}",,"{""events_reprocessed"": 0, ""journal_appends"": 0, ""projection_rebuilds"": 0, ""projection_rows_written"": 0, ""query_recomputations"": 0}"
PC01,clean_fully_synchronized,T_typed_physical_v0.3,True,True,False,False,False,False,True,False,False,False,0,"{""events_reprocessed"": 12, ""journal_appends"": 12, ""projection_rebuilds"": 1, ""projection_rows_written"": 5, ""query_recomputations"": 5}","{""events_reprocessed"": 12, ""journal_appends"": 12, ""projection_rebuilds"": 1, ""projection_rows_written"": 5, ""query_recomputations"": 5}",,"{""events_reprocessed"": 0, ""journal_appends"": 0, ""projection_rebuilds"": 0, ""projection_rows_written"": 0, ""query_recomputations"": 0}"
PC02,clean_authenticated_revocation,G_generic_physical_v0.3,True,True,False,False,False,False,True,False,False,False,0,"{""events_reprocessed"": 11, ""journal_appends"": 11, ""projection_rebuilds"": 1, ""projection_rows_written"": 2, ""query_recomputations"": 2}","{""events_reprocessed"": 11, ""journal_appends"": 11, ""projection_rebuilds"": 1, ""projection_rows_written"": 2, ""query_recomputations"": 2}",,"{""events_reprocessed"": 0, ""journal_appends"": 0, ""projection_rebuilds"": 0, ""projection_rows_written"": 0, ""query_recomputations"": 0}"
PC02,clean_authenticated_revocation,T_typed_physical_v0.3,True,True,False,False,False,False,True,False,False,False,0,"{""events_reprocessed"": 11, ""journal_appends"": 11, ""projection_rebuilds"": 1, ""projection_rows_written"": 2, ""query_recomputations"": 2}","{""events_reprocessed"": 11, ""journal_appends"": 11, ""projection_rebuilds"": 1, ""projection_rows_written"": 2, ""query_recomputations"": 2}",,"{""events_reprocessed"": 0, ""journal_appends"": 0, ""projection_rebuilds"": 0, ""projection_rows_written"": 0, ""query_recomputations"": 0}"
PC03,clean_snapshot_projection,G_generic_physical_v0.3,True,True,False,False,False,False,True,False,False,False,0,"{""events_reprocessed"": 17, ""journal_appends"": 17, ""projection_rebuilds"": 1, ""projection_rows_written"": 6, ""query_recomputations"": 6}","{""events_reprocessed"": 17, ""journal_appends"": 17, ""projection_rebuilds"": 1, ""projection_rows_written"": 6, ""query_recomputations"": 6}",,"{""events_reprocessed"": 0, ""journal_appends"": 0, ""projection_rebuilds"": 0, ""projection_rows_written"": 0, ""query_recomputations"": 0}"
PC03,clean_snapshot_projection,T_typed_physical_v0.3,True,True,False,False,False,False,True,False,False,False,0,"{""events_reprocessed"": 17, ""journal_appends"": 17, ""projection_rebuilds"": 1, ""projection_rows_written"": 6, ""query_recomputations"": 6}","{""events_reprocessed"": 17, ""journal_appends"": 17, ""projection_rebuilds"": 1, ""projection_rows_written"": 6, ""query_recomputations"": 6}",,"{""events_reprocessed"": 0, ""journal_appends"": 0, ""projection_rebuilds"": 0, ""projection_rows_written"": 0, ""query_recomputations"": 0}"
